,Sentiment,Tweet
83,1.0,Princemudi This Corona virus prove one thing It God nothing to wipe off everything and everyone from the face of this
84,1.0,ShaneJ naval Hi m an live in Japan This be my on the grind
85,1.0,Corona dari
86,1.0,The political incorrectness of be one of his most endear
87,1.0,this s piss could stop corona
88,1.0,tag you in anything that corona and the gym
89,1.0,No of Corona prima be note while in or in transit Further be I keep on
90,1.0,Pioneer TS AP corona positive who travel along with Patient be test
91,0.0,do not act like these When you or your family member t get medical help in an emergency due to
92,1.0,at with xxl top london before corona Video on the way t
93,1.0,so far World War almost s death Corona Virus The
94,0.0,CORONA VIRUS WHO I ONLY KNOW LAMBERT
95,1.0,Vert scream on live about drop his album during the Corona Virus t mp AhDOjZg
96,1.0,So t Zgp mnghZs
97,0.0,Older people t the only at risk of serious illness t QdoRPBOT
98,0.0,all still with this corona Virus
99,1.0,So this be a thread about how racism t stop in a time of corona and how visual activist be
100,0.0,get too little attention in a time of corona Sport over sport
101,1.0,AGAR SERIOUS LAY CORONA KO THEN WHERE THE HELL IS LEADER OF WHAT WAS HIS ROLE t Q lOTnIfGF
102,1.0,Miss you you Make always ta si corona
103,1.0,Sociocultural culture COVID de Keep your self away from corona virus Stay save t
104,1.0,Enjoying a while in Kona HI t gurhj adaV
105,0.0,pak
106,1.0,fra n cisco I just want to go a day without hear the word corona
107,1.0,LovelynKookie mallowman People be lose their and lose their of corona not people
108,0.0,Actually yes I have my staff sick in early with a very bad flu He say I cannot remember the flu t aA brNCan
109,1.0,At on nd March the day of the Curfew I have a special request Will you all help
110,1.0,my last white blood cell corona to a dance battle for the fate for my body t
111,1.0,Dear Corona leave us alone please thank you
112,1.0,L for Corona Virus and now the money already be collect m rupiah Link if you
113,0.0,LIVER TOWN t AXvV XtF
114,1.0,Eli PM I hope your safe from the corona virus My rat Anna to go to the library but she t because the corona virus be in Canada
115,0.0,Just get on TWITCH because I a game a viewer give me that CENSOR NUDITY and it t censor a pair
116,1.0,Alert political correctness in Covid time Mayor of Florence to hug a
117,1.0,DG PIB the Covid outbreak across the world and in from last even Graphics courtesy
118,1.0,onlyfansx x x Happy St s DAY Of Quarantine Corona Virus t Stop Us Full Video
119,0.0,Pretty soon be day cold flu and corona
120,0.0,himarin shocho
121,1.0,AmooDaniel Corona virus get every body like t GsGE a FsW
122,1.0,I react normally in people s But hi My mind Go corona corona Go Covid India
123,0.0,hana run
124,1.0,t KZHXk efWg
125,0.0,Of course No one could ever think of the virus merely by clap sing Go Corona Corona Go
126,1.0,the only corona i have be the corona on my head t HESgxdZ Sf
127,1.0,no silence Corona Virus break out in China in What be our Government do at that time our
128,1.0,vishy vishal After listen to s hoga na corona Corona t DrdzIV Qtx
129,1.0,Sifill LDF It be deliberate With deliberate disregard for how this the safety of and in
130,0.0,Sure sweetie If you act fast you might get one of those plush minimum security federal
131,1.0,Before and after show how corona virus have out some the holy t iH Ar hMHy
132,1.0,hese people need to go the home Maybe they t care about get COVID but what about the large t BV pgPPLh
133,1.0,if corona us from hear this in person live s over AfterHours
134,1.0,virus Corona virus covid covid only one virus that WHO by t bw M CTEY
135,0.0,Sanity In the time when science t q hKmVUQUm
136,1.0,If you t want to get the corona virus just tell it to get out Legally the virus cannot stay inside or on t DwEzod ZS
137,1.0,Inkosana If you suspect or have of corona don t worry we be do it like Cough and face the wall we move
138,0.0,Pick one of these He she your vote in Democracy be cruel
139,0.0,and t mean Before AND After s Before and After Corona babe be real
140,1.0,trade warrior This time many people be know to be asymptomatic even if they be infect with t tmRk xU U
141,0.0,Shehzad Ind Long time back this person break off all with me because I against dynasty TODAY I
142,1.0,CORONA MANAGEMENT WALI MANAGEMENT HEY WILL MANAGE IT LIKE NO SENSE t o ZKKiitBo
143,1.0,t look too good she worry about the wrong corona t RCbH wHPs
144,0.0,MABIN Corona please We be tire we get it
145,1.0,NLiddle can and drop the before corona us all
146,1.0,m set s Corona song as my new t
147,1.0,perezzz isabel Dear corona Please take all the s t connect
148,1.0,hat lady would experience feel on grind t CYq v
149,1.0,Asamoh China Corona virus let s go to China on a vacation
150,1.0,be always wonderful t Tyv y n O
151,1.0,We need massive FREE test to fight COVID and please stop rent seek at this situation
152,1.0,SaurabhKumar Here be Corona for Just type or Hi and it on Then choose A B C
153,1.0,J P BoomerDog To remember this when trump in t f TZkf fKq
154,0.0,fxstus Sorry but us have be for every academic year First they up then s A and
155,1.0,eal talk t
156,1.0,Yes sir
157,1.0,whole ass mood No money no bill t
158,1.0,Is your name corona cause your be kill
159,0.0,lovekristyy I need this Corona to pass I need a vacation
160,0.0,What a psychopathic monster I mean who and like that Yes also the other t N DQV VI L
161,1.0,pa bang i memorize
162,1.0,MFA China CHINA GAVE WORLD CORONA VIRUS
163,1.0,Starting this challenge share and show your solidarity to the medical our
164,1.0,it t even his lyrical content or genre i be never really a fan of his voice too shaky for me
165,1.0,When it come down to their they want the to announce a nationwide More than k for
166,1.0,jackie Absolutely not Postpone it This institution WILL NOT take this away from all of the and first gen that
167,1.0,Wow China the world corona can be even in the medical staff from medical say
168,1.0,Close up of Trump s Corona cross out and with as he speak from the White House brief
169,1.0,The just and tell me that the video of those A list sing off key not only
170,1.0,I ask you one Question in summer corona will reduce in south Will heat damage corona naturally
171,1.0,Why Curfew of on any item be If corona infect person any material virus
172,1.0,
173,1.0,COVID Covid be not just Corona Virus it be but too Let s it as COVID t mH Ykhuz
174,1.0,hinekureo dayo na na mogumogu
175,0.0,George Now m confuse as to s open or s close Someone need to clear this up t LoWr wOjwU
176,1.0,WaruiJohn We be fight corona and you be tell me you have not see your do you care about our country
177,1.0,q na ni
178,1.0,praski ka Why do we
179,1.0,Four COVID that they t smell or taste anything t OMELjvTBA
180,1.0,RAZ RFIST Four later they still haven t learn When you make or any crisis a partisan issue It become a
181,1.0,Deadly combination Corona you for social Earthquake you to be together in safe open t nAlEeO dIG
182,0.0,aroundthesun THANK YOU to grocery store THANK YOU to truck THANK YOU to medical THANK YOU to
183,1.0,just in case you be wonder how the corona virus may have go to the t muD hvPw G
184,1.0,afreenusman As a doctor my self and as wife of a doctor who be work with Corona Virus let me assure you that we t
185,1.0,Me the ocean before believe m the only one they talk to
186,1.0,En no mi el a para la t JxWvhN dC
187,1.0,And tell them to wash their or else another zombie apocalypse will start t UJzHGQe v
188,1.0,DEATH RAIL
189,1.0,ONIGAWARA ONIGAWARA
190,1.0,zoru There be work in entire city But work be go on at full pace with no
191,1.0,Corona crisis to rescue of who be in All
192,1.0,As we through the nd leave passageway after the banana depot for those who know the market well
193,1.0,Humanity above all Salute
194,1.0,If ever eat s your immune to the corona virus
195,0.0,hat even he can solve difficult problem of and science even at the college level When corona I t Nhprg ndIN
196,1.0,ayah chat
197,1.0,the thing that some t get be that even if GET CORONA AND WONT COS ARENT DIE UR t CG k vDoj
198,1.0,I m really of how and his staff have be handle the COVID situation He s a poet who be t sM iWbgYAT
199,1.0,How to Ride s Splash Mountain During Corona Closure Video Credit Jordan Richard t
200,1.0,COVID Government on It be Corona Just save on
201,1.0,I need a corona remix
202,1.0,When your corona s already at but be in hot t k HeTYaBqj
203,1.0,May all of you prepare your to have the forbearance to meet the situation play a constructive role in
204,1.0,Corona Virus A Live no
205,1.0,heidimejia To everyone in If have corona but have be for test Legacy Clinic be hold on
206,0.0,holy i all my corona virus on the time line so sorry
207,1.0,What an outstanding message by It be a good Reminder for our as a true guardian
208,1.0,NoPants OldMen Your party guest will bring a case of Corona Wait What
209,1.0,about not be able to go outside like outside AINT JUST DROP ANIMAL CROSSING IS OUTSIDE
210,0.0,have their new sensual collaboration Lento Stream t GdsTcRoyn
211,0.0,MvLife Me my news on Twitter every morning to see if this corona go or at least s some positive news about
212,0.0,os agora t wwg stSOu
213,1.0,Last s image be on the moon Seek help from the image of the savour in the moon Give it a try please you t
214,1.0,Governmental reaction to Corona will soon cause riot in every major city of the globe t via
215,1.0,Trustthepr cess i honestly never have it
216,1.0,Every property show ever edition t SE POY g
217,1.0,Lied to the world Let a breakout become a pandemic Led to die Well do China
218,0.0,some time my get a bunch of on wit this corona s worth the wait I promise t FDQdWHg g
219,1.0,corona virus my body The I eat in t STfdIQtaT
220,1.0,Yo U get some Go Bag Corona Crisis I need it
221,1.0,Luv oye I m Happy that we have finally depart those sh m Bl dy
222,0.0,Why I buy of an oil company when the The company be under a dollar this year t Y z qKdX
223,1.0,kakar harsha Corona in th on In this period Million travel globally
224,0.0,SHARE THIS SHARE THIS SHARE THIS t
225,1.0,We have no excuse totally t aR zNHQHB
226,1.0,Gail F Nestel I guess that s why we haven t see Corona yet gladly
227,0.0,No al y de L pez
228,1.0,Worth there t any real way to get your on a Corona Test in How be this possible
229,1.0,angelonuoha t care t care about corona about climate m change m
230,0.0,THE CITY REALLY IS COLD AND EMPTY MY KING CORONA
231,1.0,You wish
232,0.0,gang rape case at jail What a beautiful news to start the day A drop of tear
233,0.0,BelindaJones Funny how casual should have save the extra per hour they get to prepare for
234,0.0,Imagine on day the government everyone Corona be Fake
235,1.0,Bigot
236,1.0,hanks for all the love and support on Corona Free You keep me so busy that I could t yxve ALU v
237,1.0,Amazing story The intelligence service buy K Corona Virus from that have no diplomatic
238,1.0,lazy bluffer Is it only me Or y all be about corona
239,1.0,RanaKas t IOlN bsT
240,0.0,So literally an and Queen
241,0.0,we tell them the government cover up the apocalypse the guise of a corona virus that s t
242,1.0,marillu br
243,1.0,JUST IN grocery store as emergency them free t IGfWahXk m
244,1.0,If none in your to help you you might as well turn to His Divine Eminence Ra Shahi for help
245,1.0,so of the corona virus they flee to outer space
246,1.0,asasqwqw
247,0.0,From today till st March Weekly to remain close in Surat I request people to avoid
248,1.0,On a personal note I thank everyone for the about media corona onset in my family To set the record
249,1.0,Man this corona it feel amaze outside
250,1.0,Exactly exactly all be finally it together Good job Like round of applause Like I say t N dpURk fB
251,1.0,xiixxvii Dear Corona I just want my life back
252,1.0,BEEN SAYING THIS TO MY FAMILY t vjOdA JLDi
253,0.0,This be just idiotic Apparently Trump be responsible for go back in time and on
254,0.0,
255,0.0,No new domestic corona in China t
256,0.0,I m laugh and cry Just saw an interview with a doctor that when why well to
257,1.0,iam johnw of will be infect by the corona virus over the next People who live in right
258,0.0,of Corona t
259,1.0,tyrone brother What in the corona be go on here t cHKqQFM lI
260,1.0,I t be if the COMMUNIST CHINA win t be the first to come out with the vaccine against the corona t JIr blnqV
261,0.0,RentStrike ICE must stop all period For them to be do and during the crisis be horrific
262,0.0,KZV
263,0.0,Is it me or do the feel when you work out at home versus lift at the gym t IRNefWix
264,1.0,Every thing be cancel because of corona virus t FiQhSrD a
265,1.0,They haven t and you think Corona be where they will draw the line
266,1.0,Oh Delivery no a
267,0.0,Now will be without pay like other corona
268,1.0,when say i try to find love in someone else too many i felt that afterhours t JQJMRvm
269,1.0,clear mirage
270,0.0,Weather summary for March at Bell Middle High School t q HI s ucT t kPAp MD bd
271,1.0,Humor DNA Beer to t f tk H MHB
272,1.0,Not a single news channel be go to dare broadcast the news that suspend in and
273,1.0,jamierobbins Lee Fang the chat This report today banker health care to raise
274,0.0,US be out as of corona virus be in be t dLaaSO w
275,1.0,TheGreatMalik When Corona eventually will be tell us Yah we tell you that s nothing to worry
276,0.0,upma Now enjoy your stupidity
277,1.0,its corona season do anyone miss this t o WyLofJrA
278,1.0,hey ciara Me once I touch down on my first trip post corona t W uK qVXD
279,1.0,Just send it t
280,1.0,Dolshoe Awesome SixiS t rWoDIOAy f
281,1.0,i d quarantine from HER forget about corona
282,1.0,o de do e sons
283,0.0,The feel that your future be be with a wrong guy can increase of get corona
284,1.0,Train to
285,1.0,During Curfew be we to chant Go Corona Go
286,0.0,m so tire of this corona Please get hell out I miss my i want to go to college i want to hangout I
287,1.0,This and many more such people would come out and just mock the bloody process No one be ready to understand that we
288,1.0,make them dick corona virus if s interest
289,1.0,his be what need t pmp NbqYG
290,0.0,s close Corona from International Airport International Airport
291,1.0,This The ahead be like nothing we have ever know The human race be epidemiological
292,1.0,wow really sing on my dick like s the cure to in a falsetto he snap
293,1.0,Trump turn down WHO test for corona because the own Health the company that now be give
294,1.0,ije Please where s the source of this video We not finish with Corona Virus and this man be for another virus o
295,1.0,d be so embarrass to be a parent to any of these or relate to one
296,1.0,Now we learn be really s response to the and SURPRISE a company
297,1.0,Corona virus be upon us advisory to stay home be and re take it in day by day We know how
298,0.0,The I know be just home sick be for by their Test negative for Flu A B and all t AM pXaTL
299,0.0,BREAKING President that start at midnight tonight go into full
300,1.0,BREAKING The Bowling Alley close indefinitely due to recent outbreak t
301,0.0,you stay away from Corona a
302,1.0,de de Me mal se enoj
303,1.0,Atheist Krishna Time Traveller
304,0.0,
305,1.0,realmalin ts xmas
306,1.0,brihannabrown When you know be t
307,1.0,MichaelGarage Both and Labour have a massive opportunity with Corona work with and support the Both t m i Paqyd
308,0.0,SagarRathore s fatality rate be almost Scary Don t take this corona thing lightly
309,0.0,never see four more people in my life t rQeXXXW bE t SeyxL Da
310,1.0,one good boy This place no one eat inside My heart t y K PpOtKI
311,1.0,I m watch and I can t believe practice social in a tower away from the village of Corona
312,1.0,
313,1.0,Me Mendez Sound t jQ QzJLkw
314,0.0,nxb e s wonder where corona and start
315,1.0,Why be everyone say t F tOkEN EJ
316,0.0,Summer t suppose to get chubby But Corona have other
317,0.0,test for Corona and have positive so far I
318,0.0,SHE HAD A SIGN HUNG AROUND HER NECK THAT READ hey I t have corona How cruel be we as to have
319,0.0,OverLord Xd I be a responsible citizen and and I realize prayer tomorrow will create a very dangerous environment for
320,1.0,no corona god be protect us we be the choose corona s you
321,1.0,g rrin xshiomi meanwhile Joe would be like no don t get corona ur so sexy sniff your hair
322,0.0,mm Shehla Rashid be today in other mood may b indication to Well corona be now
323,0.0,If anyone they have the corona virus in the Valley please contact this number will
324,1.0,KIMMINKYU TH NEWS Weki
325,1.0,We all Can read
326,1.0,Lost Pause Damn sorry to hear you both be apart because of this Hope you both stay safe during the t pHowOf FN
327,1.0,what hit us first CORONA or MAT t GT SC XZtF
328,0.0,Dr fizakhan Let me translate this ga Corona Its a renowned channel zee u have no idea
329,1.0,MuhdNaufal As a student here in South I can say that they handle this Covid situation really well The
330,0.0,t SmYWQY Hvo
331,1.0,corona who t
332,0.0,Bibiana en la a No no
333,0.0,very hot and sexy
334,1.0,glennkirschner Trump be never one to miss an opportunity to inspire prejudice and stoke division But tomorrow we will be one day
335,0.0,around of be to get infect with the corona virus over the span of well this be it
336,1.0,corona
337,1.0,they and give em corona t s lVQ CBjh
338,1.0,tell me why s so busy at the in like corona t exist for m tell u
339,1.0,mlighty Leadership t leave home without it t Yxcj iwBKL OFB People Bernie
340,0.0,alrooqii
341,0.0,his time when tell us we re a disease how will we deny it have faith Corona will kill us t w XU dLEl
342,1.0,Chilip I wish you have the Corona virus you t survive
343,0.0,Corona really me now t bf YFxmuV
344,1.0,zM barekOlsun t CRZu lC qw
345,0.0,Like how rain be wash down Corona I m
346,1.0,beautiful during corona virus relationship with God much stillness rest much more
347,0.0,tum par When a state be go through a crisis like Corona you all take down the and
348,1.0,While re Corona virus and wash for please also spread awareness of not
349,1.0,Corona t affect dog your be Me t eJrAMasGk
350,1.0,honeydue I demand in this corona situation DO NOT RUB YOUR FACE WITH YOUR LIKE U ARE SO DONE WITH YOUR
351,0.0,on my birthday and the corona virus make it impossible to do something
352,1.0,on some fade t
353,1.0,We re through the look glass here people t tnIkbloS T
354,1.0,he corona need to just come and kill me die of boredom either way so yea m ready
355,1.0,Corona
356,1.0,The state company that buy test from China will sell the to
357,0.0,I feel like there be a weird flu right before the corona virus That flu be the fluffer for the corona It t YzBxKih Dz
358,1.0,Jali Cat there be a greater crime here sir one must ask how a government employee
359,1.0,
360,1.0,Agent AKie China its last patient yesterday no more Corona it s time to order those on right Covid InSA
361,1.0,All corona team Smart Durant Wood C How many
362,1.0,even Mayor be get by her for do her job well while Joy of be
363,1.0,get in March Dutch Corona Virus
364,1.0,need something to do during the corona virus quarantine friendly reminder that your immune
365,1.0,we all know who the only person who can defeat corona be t u DraiQHHY
366,0.0,and of course when we they run out of ammo or equipment they too stage a sit in usually during the middle of yeah
367,0.0,Corona outbreak in Hong mental health of already strain by of social unrest t
368,1.0,Humanity as a whole be not the problem A few the environment for profit at the expense of our
369,0.0,if you try and contact the Good luck they be all close do to the corona
370,1.0,nppa india The Government on Corona It be Corona Just save on
371,1.0,Na G get a point how all very player get corona but all the at healthy t
372,1.0,Ankur BHARAT Rao InderjitS in be still open and work Is government wait for the positive corona test and
373,1.0,But m the only one that you need
374,1.0,I m not dig this we re the virus and Corona be Earth s immunity system go around Yes be key
375,0.0,s play this game White People Slavery White People White s Genocide White s Xenophobia All
376,1.0,s MILLION people all Let that sink in t maVprYTii
377,1.0,Correct technique to wash your for proper disinfection COVID
378,0.0,I just he while sick He just one day And he be an older man too m t hL r Orq v
379,1.0,China effectively a war crime against its own people and then the rest of the world Now it s
380,0.0,Corona s epidemic be a very vague secret that only China and know There be a strange matter relate to t qjVyy XY J
381,1.0,Are you or not t
382,1.0,I CAN T GET IN CORONA GOT NOOK GOD HELP US ALL
383,1.0,If you do time then you know them be t o LT MNCVi
384,1.0,So many under your Most of them will be by corona
385,1.0,suri lisa please don t go out stay home be safe Boomer corona Corona
386,0.0,i know this be so annoy we have but this stupid corona just have to ruin it
387,1.0,What You Need Know Is this order mandatory What if I t comply Yes This be t
388,1.0,to the ONLY the rest of u can choke stream after to not get corona
389,1.0,The racism be the point
390,1.0,CORONA VIRUS senior After enter in Anil s house t S SMOlAqae
391,0.0,If it be House Party that game be wild like its nutty if you play it completely understand
392,0.0,a pare de en las de la canci n
393,1.0,My son dog t catch the Corona virus And then there be a shortage of And then
394,1.0,Good for Trump This be a especially if it come as some evidence from the P lab near
395,1.0,Anyone in this video please don t apply to work
396,0.0,aasdf ghjkl Corona s epidemic be a very vague secret that only China and know There be a strange matter relate to
397,1.0,
398,1.0,mallowman That racist How dare you ANYONE can have the corona virus EVEN YOU Just because t
399,1.0,If report up it an president who be accuse of tax fraud in investigation
400,1.0,t OPXFd lp p
401,0.0,m over it t lnA f Ump
402,1.0,The correct equivalent for corona would be
403,1.0,An example of substandard temperament The jealousy pandemic to have affect his mind Thankfully
404,1.0,Alpha Phinsider bluestarmom The t any of that t cJk QH L
405,1.0,Tony Heller furious feline An old malaria drug sell as t kFmSFSyCY
406,1.0,We thank our Prime Minister for take action against the Corona virus so soon
407,1.0,Incredible how many corona virus have the number in them in control Nice work aka
408,1.0,Stout s a global pandemic not a hamstring strain t MUjXT N Hp
409,1.0,Spade BME make the video on t al dhYvZpP
410,1.0,t JGJ aO Zhs
411,1.0,Letters Tc Somebody let me know when this B Corona Virus song hit t TCviJ xIHz
412,1.0,tqq DPS t nssCnwb iM
413,1.0,m tell all t W SNR cHvl
414,1.0,let s rave home i be a acid family radio transmission while corona home
415,1.0,t cQXIhe Qy
416,1.0,Wow How China bring new corona virus from mid to new yesterday Extremely aggressive and
417,1.0,I LOVE U
418,1.0,k believe that if put corn in soil it will sprout and grow into more corn the literally
419,1.0,t agree more t
420,1.0,o na do bbb t uMZ Yeljg
421,1.0,his should not have to be say but call the virus by it s name or Corona virus any other t
422,1.0,PEOPLE t Please just take one minute to read this The we all fully
423,0.0,ColinDooley Doctor from who about Corona t zP Gc XuWk
424,1.0,mallowman make fun of the Corona be one thing but just because someone be t a S fhLn W
425,1.0,bl ckd ddysh wn Waiting for the Corona Virus t ld Z jfLow
426,0.0,Power Water Fire Emergency Patient care Waste disposal sanitation
427,1.0,Beat it Corona t VWYh MyJM
428,1.0,Another day corona today
429,1.0,That block se touch my soul t
430,0.0,z My Quarantine Routine this be just a general guide for myself base on my what work for me m
431,1.0,shantanupathak Hi my wife s boss be force her to be in office despite them for Do you want to
432,1.0,On which country be you at t you inform that there be corona virus if you have nothing to t ofBp t UDI
433,0.0,Out of the total corona in the second highest be from A place with less population and
434,1.0,stay in my heart cause i you corona i tau i you ketats
435,1.0,Corona t
436,0.0,gordy shank Is this their Malaria public service announcement on Glad to see you it
437,1.0,break the chain keep you and your near and dear safe corona t nhFPPrt iZ
438,0.0,rnk t t C es M GLe
439,1.0,not if the kidney stone it t epyI dPVni
440,1.0,
441,0.0,what if the corona virus be secretly a marker of randomly select people choose to die before a new world order or government
442,1.0,PeterSweden Corona virus death rate
443,1.0,I have be inform that the the Corona virus out at So I guess turn up your thermostat
444,1.0,feyyo aku remake gentle
445,1.0,all of my extension dah fall out break
446,1.0,markkirin THIS be what you It s be for Should we consult the beer company How about the
447,1.0,Does stand for corona virus store
448,1.0,Amazing the of a Congressman The virus be Corona Virus The disease you get be
449,0.0,I be one of those people at risk of Corona due to my ill heath but cannot stay because I do not have any family t ZjJZZuv Lb
450,1.0,what corona bring us to t
451,0.0,Every press conference how very far behind the eight ball the Trump Administration be on t l i BoCxb
452,1.0,Since the winner didnt respond and do not support reroll please re enter the giveaway by this
453,1.0,mehakzubair to u Don t touch me mehakzubair don t u know its corona
454,1.0,COVID kawan
455,1.0,t I Nd qmOoP
456,0.0,do q e o de um no meio da t fMkUBI HMq
457,0.0,i agree i be sick then ever be sick in a while same t
458,1.0,Do you think if we all hit the quan at the same time the corona virus will go away
459,1.0,
460,0.0,i just get back from be to self quarantine in my room for days so my eat every meal with me
461,1.0,me try to keep up with Sex Scandal Getting corona get pregnant
462,1.0,OUT NOW t YKF VMms M SHARE REPOST LISTEN QUARANTINE MUSIC F K CORONA VIRUS
463,1.0,Airport seek to levy corona t via
464,1.0,you do understand corona virus can still be when we have to pay for goods and t
465,1.0,U M V Teaser CYAN U t Qh O FkQu t XPno RCVR
466,1.0,Imagine if be still the We have to shut it All It s da corona bomb
467,0.0,Man we lose my in the music game to this corona this be crazy my heart and go out to black n
468,0.0,m old How be these people so close in age to me and so indescribably dumb Holy
469,1.0,Corona Virus t P Ta Unt
470,0.0,This time when tell us we re a disease how will we deny it have faith t XW MKMOcH
471,1.0,
472,1.0,mads lewis be the princess of CORONA lock in a tower for
473,1.0,caa nrc best Me To corona t
474,1.0,
475,1.0,o se e s de a o BBB
476,1.0,COVID Corona Virus Treatment Prognosis t DME TVrZzT via t DAfzHMjt
477,1.0,What conclusion should I draw from this t
478,1.0,men gang men to death today man suicide Another man say he s
479,1.0,Corona Awareness Soap or Hand what should I use to wash my TN Toge
480,1.0,Seriously you
481,1.0,According to local news a city of employee test positive to Corona Virus t GslFfZ EMq
482,1.0,Jafta ML Corona virus outbreak all sport but your man be still you
483,1.0,Maybe just maybe the year will take this more seriously We can only hope
484,1.0,Since the be people for that Bill the Corona Virus and try to pin it on Q
485,1.0,The fear of Corona be the begin of wisdom t QshxxaTk x
486,1.0,stay ALERT t oBYxMijj
487,1.0,TeteeL a date de ouf
488,1.0,Much t J L iH k
